"File","SZS","ExitCode","Seconds"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA101^1.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA104^1.p","Timeout","0","10.05"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA110^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM156^1.p","Theorem","0","1.31"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA112^1.p","Timeout","0","10.08"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA114^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA116^1.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM160^1.p","Theorem","0","1.38"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM161^1.p","Theorem","0","1.38"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA117^1.p","Timeout","0","10.08"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM165^1.p","Theorem","0","0.29"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM163^1.p","Theorem","0","0.93"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA122^1.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA120^1.p","Timeout","0","10.11"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA121^1.p","Timeout","0","10.11"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA118^1.p","Timeout","0","10.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA124^1.p","Timeout","0","10.1"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA127^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA129^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA130^1.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA131^1.p","Timeout","0","10.05"
"C:\TPTP\TPTP-v9.3.1\Problems\ANA\ANA132^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM172^1.p","Theorem","0","0.63"
"C:\TPTP\TPTP-v9.3.1\Problems\COL\COL125^1.p","Timeout","0","10.06"
"C:\TPTP\TPTP-v9.3.1\Problems\COL\COL126^1.p","Timeout","0","10.08"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM178^1.p","Theorem","0","3.02"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM179^1.p","Theorem","0","3.02"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM152^1.p","Timeout","0","10.04"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM153^1.p","Timeout","0","10.17"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM182^1.p","Theorem","0","4.47"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM184^1.p","Theorem","0","4.4"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM183^1.p","Theorem","0","4.46"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM162^1.p","Theorem","0","5.88"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM154^1.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM155^1.p","Timeout","0","10.18"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM190^1.p","Theorem","0","5.09"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM158^1.p","Timeout","0","10.12"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM159^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM157^1.p","Timeout","0","10.15"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM164^1.p","Timeout","0","10.12"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM166^1.p","Timeout","0","10.07"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM194^1.p","Theorem","0","5.31"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM195^1.p","Theorem","0","5.11"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM167^1.p","Timeout","0","10.08"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM168^1.p","Timeout","0","10.1"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM169^1.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM171^1.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM170^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM203^1.p","Theorem","0","1.35"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM174^1.p","Timeout","0","10.11"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM173^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM177^1.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM176^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM180^1.p","Timeout","0","10.16"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM175^1.p","Timeout","0","10.2"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM181^1.p","Timeout","0","10.18"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM205^1.p","Theorem","0","0.42"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM185^1.p","Timeout","0","10.1"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM186^1.p","Timeout","0","10.13"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR119^1.p","Theorem","0","0.61"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR119^2.p","Theorem","0","0.59"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM187^1.p","Timeout","0","10.12"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR120^1.p","Theorem","0","0.67"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR120^2.p","Theorem","0","0.66"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM208^1.p","Theorem","0","0.85"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR121^1.p","Theorem","0","0.71"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR124^2.p","Theorem","0","0.28"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR122^1.p","Theorem","0","0.71"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR122^2.p","Theorem","0","0.68"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR126^2.p","Theorem","0","0.14"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR123^1.p","Theorem","0","0.63"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR126^1.p","Theorem","0","0.15"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR124^1.p","Theorem","0","0.28"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR125^1.p","Theorem","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR123^2.p","Theorem","0","0.6"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR125^2.p","Theorem","0","0.15"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR121^2.p","Theorem","0","0.71"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM206^1.p","Theorem","0","1.05"
"C:\TPTP\TPTP-v9.3.1\Problems\COM\COM209^1.p","Theorem","0","1.02"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR127^1.p","Theorem","0","0.06"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR128^1.p","Theorem","0","0.1"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR127^2.p","Theorem","0","0.11"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR129^1.p","Theorem","0","0.12"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR129^2.p","Theorem","0","0.13"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR128^2.p","Theorem","0","0.14"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR130^1.p","Theorem","0","0.14"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR130^2.p","Theorem","0","0.15"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR131^1.p","Theorem","0","0.14"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR131^2.p","Theorem","0","0.15"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR132^1.p","Theorem","0","0.16"
"C:\TPTP\TPTP-v9.3.1\Problems\CSR\CSR133^1.p","GaveUp","0","0.17"
